Participant,Race,Sex,Age,State,Community,Highest Edu Completed,Current Student Status,Major,Employment,Marital Status,Housing,Annual Income
100794,White,Female,76,Missouri,Rural,Some college-no degree (includes some community college),,,Retired,Widowed,Rent,Less than $10K
100810,White,Male,Don't know/Refused,Alabama,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,Don't know/Refused
100821,White,Male,73,California,Suburban,Some college-no degree (includes some community college),,,Retired,Never been married,Rent,$20K to under $30K
100853,White,Female,91,Pennsylvania,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Own,$10K to under $20K
100862,White,Male,55,Maryland,Suburban,Four year college or university degree/Bachelor's degree,No,Natural sciences,Full-time,Never been married,Own,$100K to under $150
100870,White,Female,58,New Jersey,Suburban,Four year college or university degree/Bachelor's degree,No,English/literature,Not employed,Widowed,Own,$75K to under $100K
100903,White,Male,70,Massachusetts,Urban,Four year college or university degree/Bachelor's degree,,Education,Retired,Never been married,Own,$100K to under $150
100911,White,Female,87,Ohio,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,$20K to under $30K
100928,White,Female,69,North Carolina,Rural,Postgraduate or professional degree,,Business/management/finance/marketing/accounting/human resources,Retired,Widowed,Own,$75K to under $100K
100935,White,Female,83,New York,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$10K to under $20K
100952,White,Female,Don't know/Refused,Arizona,Urban,Postgraduate or professional degree,,Education,Full-time,Divorced,Own,$50K to under $75K
100984,White,Female,76,California,Urban,Postgraduate or professional degree,,Art-visual art/theater/dance/art history,Retired,Widowed,Own,Don't know/Refused
101011,White,Female,67,New York,Suburban,Two year associate degree from a college or university,,Liberal arts/humanities/general studies,Not employed,Divorced,Rent,$30K to under $40K
101027,White,Male,80,Pennsylvania,Suburban,Postgraduate or professional degree,,Business/management/finance/marketing/accounting/human resources,Retired,Widowed,Rent,$50K to under $75K
101029,Black or African-American,Male,72,Maryland,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Divorced,Own,$30K to under $40K
101031,White,Female,48,New York,Urban,Postgraduate or professional degree,No,Other,Full-time,Divorced,Own,$100K to under $150
101045,White,Female,92,Minnesota,Suburban,Postgraduate or professional degree,,Education,Not employed,Widowed,Own,Don't know/Refused
101076,White,Female,Don't know/Refused,California,Urban,Some college-no degree (includes some community college),,,Full-time,Divorced,Rent,$50K to under $75K
101080,White,Female,79,Washington,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$10K to under $20K
101089,White,Female,74,Massachusetts,Rural,Four year college or university degree/Bachelor's degree,,Art-visual art/theater/dance/art history,Retired,Widowed,Own,$20K to under $30K
101090,White,Male,81,Indiana,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$20K to under $30K
101092,White,Female,82,Pennsylvania,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Rent,$10K to under $20K
101164,White,Female,82,Maryland,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,Don't know/Refused
101170,White,Female,32,Colorado,Urban,Some college-no degree (includes some community college),No,,Part-time,Separated,Don't know/Refused (VOL.),Less than $10K
101194,Black or African-American,Female,82,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Part-time,Widowed,Own,Don't know/Refused
101205,White,Female,80,California,Urban,Four year college or university degree/Bachelor's degree,,Life sciences/Health sciences,Retired,Divorced,Own,$50K to under $75K
101280,White,Male,76,Pennsylvania,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Married,Own,$40K to under $50K
101316,White,Female,Don't know/Refused,Colorado,Urban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,Don't know/Refused
101317,White,Male,55,California,Rural,Some college-no degree (includes some community college),No,,Not employed,Divorced,Rent,Don't know/Refused
101356,White,Female,71,Kansas,Rural,Four year college or university degree/Bachelor's degree,,Education,Retired,Divorced,Own,$20K to under $30K
101377,White,Female,82,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Divorced,Own,$20K to under $30K
101378,White,Female,77,Minnesota,Urban,Some postgraduate or professional schooling-no postgraduate degree,,Education,Retired,Widowed,Own,$75K to under $100K
101379,White,Female,78,Michigan,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Own,Don't know/Refused
101389,Hispanic/Latino,Female,63,California,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Rent,$30K to under $40K
101393,White,Male,93,Michigan,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Divorced,Rent,Don't know/Refused
101397,White,Female,84,Massachusetts,Suburban,Four year college or university degree/Bachelor's degree,,Social sciences,Not employed,Widowed,Own,$50K to under $75K
101399,White,Female,68,New Jersey,Suburban,Four year college or university degree/Bachelor's degree,,Natural sciences,Part-time,Widowed,Rent,$30K to under $40K
101407,White,Female,60,Kentucky,Urban,Four year college or university degree/Bachelor's degree,No,Life sciences/Health sciences,Retired,Divorced,Own,$40K to under $50K
101469,White,Male,56,Illinois,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Widowed,Own,$75K to under $100K
101550,White,Female,65,Indiana,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$75K to under $100K
101598,White,Female,67,California,Urban,Some college-no degree (includes some community college),,,Retired,Divorced,Own,Don't know/Refused
101616,White,Female,55,Minnesota,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Rent,$30K to under $40K
101629,Black or African-American,Female,72,Texas,Urban,Two year associate degree from a college or university,,Psychology/behavorial science,Retired,Widowed,Own,Don't know/Refused
101687,White,Female,80,Colorado,Urban,Some college-no degree (includes some community college),,,Not employed,Widowed,Own,$20K to under $30K
101731,Native American/American Indian/Alaska Native,Female,63,Texas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$40K to under $50K
101742,White,Female,74,Iowa,Urban,Some college-no degree (includes some community college),,,Not employed,Widowed,Own,$50K to under $75K
101749,White,Female,61,Colorado,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Part-time,Divorced,Own,$50K to under $75K
101800,White,Female,74,Kentucky,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,$50K to under $75K
101804,White,Female,80,California,Suburban,Some college-no degree (includes some community college),,,Not employed,Divorced,Own,$10K to under $20K
101810,White,Female,64,Florida,Urban,Some postgraduate or professional schooling-no postgraduate degree,No,Social work/Human services,Part-time,Divorced,Own,$20K to under $30K
101857,White,Female,29,Tennessee,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Rent,Less than $10K
101864,White,Female,68,California,Suburban,Two year associate degree from a college or university,,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$50K to under $75K
101880,White,Female,71,Ohio,Suburban,Some college-no degree (includes some community college),,,Retired,Divorced,Own,$30K to under $40K
101913,White,Female,61,Pennsylvania,Rural,Some college-no degree (includes some community college),No,,Part-time,Widowed,Own,$10K to under $20K
101915,Black or African-American,Female,47,Oklahoma,Suburban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Not employed,Never been married,Rent,Less than $10K
101939,White,Male,43,Texas,Urban,Some college-no degree (includes some community college),No,,Retired,Married,Own,Don't know/Refused
101945,Hispanic/Latino,Male,56,Washington,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Divorced,Rent,Less than $10K
101960,White,Female,27,North Dakota,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$30K to under $40K
101984,White,Female,34,Virginia,Suburban,Four year college or university degree/Bachelor's degree,No,Social sciences,Full-time,Divorced,Live with parents,$30K to under $40K
101989,White,Female,85,Illinois,Urban,Two year associate degree from a college or university,,Vocational/technical,Retired,Widowed,Own,$30K to under $40K
200010,White,Male,57,Arkansas,Rural,Two year associate degree from a college or university,No,Vocational/technical,Not employed,Divorced,Own,$10K to under $20K
200150,Black or African-American,Female,51,Illinois,Suburban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,$50K to under $75K
200212,White,Male,63,Florida,Suburban,Some college-no degree (includes some community college),No,,Not employed,Divorced,Rent,Less than $10K
200313,White,Female,67,Montana,Urban,Some college-no degree (includes some community college),,,Retired,Divorced,Own,$40K to under $50K
200406,White,Male,Don't know/Refused,Virginia,Rural,Two year associate degree from a college or university,,Liberal arts/humanities/general studies,Full-time,Divorced,Own,Don't know/Refused
200535,White,Female,49,Ohio,Suburban,Four year college or university degree/Bachelor's degree,No,Life sciences/Health sciences,Full-time,Divorced,Own,$50K to under $75K
200548,Black or African-American,Male,27,New Jersey,Suburban,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Rent,$30K to under $40K
200602,Black or African-American,Female,27,Texas,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Rent,Less than $10K
200622,White,Female,34,Florida,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$10K to under $20K
200689,White,Male,33,California,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$100K to under $150
200791,White,Female,47,Texas,Suburban,Two year associate degree from a college or university,Yes,Life sciences/Health sciences,Full-time,Divorced,Own,$50K to under $75K
200836,White,Female,40,Washington,Suburban,Four year college or university degree/Bachelor's degree,No,Vocational/technical,Not employed,Living with a partner,Rent,$30K to under $40K
200882,White,Male,87,Texas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$30K to under $40K
200895,White,Female,54,Hawaii,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Divorced,Own,$40K to under $50K
201029,White,Male,19,Delaware,Suburban,Some college-no degree (includes some community college),Yes,,Not employed,Never been married,Other arrangement,Don't know/Refused
201090,White,Male,79,New Jersey,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Rent,Don't know/Refused
201182,White,Male,27,Pennsylvania,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Never been married,Rent,$10K to under $20K
201228,White,Female,29,Massachusetts,Urban,Four year college or university degree/Bachelor's degree,No,Social sciences,Full-time,Never been married,Rent,$50K to under $75K
201518,Don't know,Female,28,Ohio,Urban,Postgraduate or professional degree,No,Science - unspecified or other,Full-time,Never been married,Rent,$30K to under $40K
201519,Native American/American Indian/Alaska Native,Male,64,Oklahoma,Rural,Some college-no degree (includes some community college),No,,Disabled,Divorced,Own,$10K to under $20K
201629,White,Female,45,Michigan,Urban,Postgraduate or professional degree,No,Engineering/drafting,Full-time,Living with a partner,Own,$75K to under $100K
201772,White,Male,65,Ohio,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Divorced,Rent,$10K to under $20K
201863,White,Female,61,Kentucky,Urban,Postgraduate or professional degree,No,Education,Retired,Separated,Rent,$50K to under $75K
201896,White,Female,63,Washington,Urban,Some college-no degree (includes some community college),No,,Full-time,Widowed,Own,$50K to under $75K
201927,White,Male,40,Missouri,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Own,$20K to under $30K
201963,White,Female,70,Arizona,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Rent,$30K to under $40K
201989,Black or African-American,Male,20,Texas,Suburban,Some college-no degree (includes some community college),Yes,Life sciences/Health sciences,Full-time,Never been married,Live with parents,$10K to under $20K
202018,Native American/American Indian/Alaska Native,Female,Don't know/Refused,Oklahoma,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Rent,Don't know/Refused
202285,White,Male,48,Oklahoma,Rural,Postgraduate or professional degree,No,Philosophy/religion/theology,Full-time,Married,Own,$50K to under $75K
202307,White,Male,59,California,Suburban,Four year college or university degree/Bachelor's degree,Yes,Vocational/technical,Part-time,Widowed,Own,Less than $10K
202317,White,Female,Don't know/Refused,Oregon,Suburban,Two year associate degree from a college or university,,Life sciences/Health sciences,Retired,Living with a partner,Own,$30K to under $40K
202440,White,Male,30,California,Rural,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$50K to under $75K
202550,White,Male,29,Montana,Rural,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Never been married,Own,$40K to under $50K
202623,Black or African-American,Female,29,Florida,Suburban,Some college-no degree (includes some community college),No,,Part-time,Never been married,Rent,$50K to under $75K
202665,Black or African-American,Male,70,California,Urban,Four year college or university degree/Bachelor's degree,,Vocational/technical,Retired,Divorced,Own,$75K to under $100K
202689,Asian or Asian-American,Female,65,Utah,Suburban,Two year associate degree from a college or university,,Business/management/finance/marketing/accounting/human resources,Retired,Never been married,Own,$40K to under $50K
202704,Black or African-American,Male,40,Arizona,Urban,Two year associate degree from a college or university,No,Engineering/drafting,Full-time,Married,Rent,$100K to under $150
202739,White,Female,70,Pennsylvania,Rural,Two year associate degree from a college or university,,Vocational/technical,Not employed,Widowed,Own,Don't know/Refused
202783,White,Male,28,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Separated,Other arrangement,Less than $10K
202841,Black or African-American,Male,30,New Jersey,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$20K to under $30K
202867,Black or African-American,Female,69,Texas,Suburban,Postgraduate or professional degree,,Law,Full-time,Never been married,Own,$30K to under $40K
202876,White,Female,21,Alabama,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,Less than $10K
202915,White,Male,45,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Own,$75K to under $100K
202942,White,Male,40,Texas,Urban,Some postgraduate or professional schooling-no postgraduate degree,No,Science - unspecified or other,Full-time,Don't know/Refused,Own,$100K to under $150
203164,White,Male,49,Georgia,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Divorced,Rent,$10K to under $20K
203166,Black or African-American,Female,52,Texas,Suburban,Two year associate degree from a college or university,Yes,Education,Not employed,Separated,Rent,$10K to under $20K
203349,White,Female,26,California,Suburban,Four year college or university degree/Bachelor's degree,No,Education,Full-time,Never been married,Rent,$50K to under $75K
203384,Black or African-American,Female,52,Georgia,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Separated,Rent,Don't know/Refused
203399,White,Male,29,Kentucky,Urban,Four year college or university degree/Bachelor's degree,No,Economics,Full-time,Never been married,Own,$40K to under $50K
203465,White,Female,27,California,Urban,Four year college or university degree/Bachelor's degree,No,Social sciences,Full-time,Divorced,Rent,$10K to under $20K
203480,Black or African-American,Male,25,Arizona,Urban,Some college-no degree (includes some community college),No,,Full-time,Never been married,Rent,$50K to under $75K
203514,White,Female,73,Nevada,Urban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,Don't know/Refused
203595,White,Female,53,Hawaii,Rural,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,Don't know/Refused
203641,White,Male,49,Washington,Suburban,Four year college or university degree/Bachelor's degree,No,Engineering/drafting,Full-time,Married,Own,$100K to under $150
203652,Hispanic/Latino,Male,18,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Rent,$75K to under $100K
203660,White,Female,46,Washington,Urban,Two year associate degree from a college or university,No,Communications/broadcasting,Not employed,Divorced,Rent,$50K to under $75K
203673,White,Male,73,Florida,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$20K to under $30K
203700,Hispanic/Latino,Female,46,Pennsylvania,Urban,Some college-no degree (includes some community college),Yes,Vocational/technical,Not employed,Separated,Own,$30K to under $40K
203709,Black or African-American,Female,60,New York,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Divorced,Rent,Less than $10K
203847,White,Male,48,Texas,Rural,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Not employed,Divorced,Rent,Less than $10K
203879,White,Male,55,Illinois,Urban,Some college-no degree (includes some community college),No,,Full-time,Widowed,Rent,$20K to under $30K
203890,White,Male,23,North Carolina,Urban,Four year college or university degree/Bachelor's degree,No,Social sciences,Full-time,Never been married,Rent,$30K to under $40K
203970,White,Male,26,Florida,Urban,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Rent,$150K or more
204083,Refused,Male,32,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,Don't know/Refused
204110,Refused,Female,43,Oregon,Rural,Four year college or university degree/Bachelor's degree,No,Life sciences/Health sciences,Don't know/Refused,Never been married,Own,$40K to under $50K
204130,White,Male,55,Maryland,Suburban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,$50K to under $75K
204183,White,Male,21,Florida,Urban,Four year college or university degree/Bachelor's degree,Yes,Athletic training,Part-time,Never been married,Live in a dorm,$30K to under $40K
204377,White,Male,74,Washington,Suburban,Some college-no degree (includes some community college),,,Part-time,Divorced,Rent,$40K to under $50K
204444,White,Male,40,Colorado,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Divorced,Rent,$40K to under $50K
204465,White,Male,79,Arizona,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$30K to under $40K
204483,White,Female,33,Maine,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Disabled,Never been married,Rent,Less than $10K
204675,White,Male,34,Massachusetts,Urban,Two year associate degree from a college or university,No,Police and protective services/Criminal justice,Full-time,Never been married,Rent,$40K to under $50K
204690,White,Female,86,Florida,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,$20K to under $30K
204703,White,Female,69,North Carolina,Urban,Some college-no degree (includes some community college),,,Not employed,Widowed,Own,$50K to under $75K
204734,White,Female,22,Florida,Suburban,Four year college or university degree/Bachelor's degree,Yes,,Not employed,Never been married,Own,Don't know/Refused
204782,White,Male,61,Pennsylvania,Rural,Two year associate degree from a college or university,No,Life sciences/Health sciences,Full-time,Divorced,Rent,$50K to under $75K
204793,Hispanic/Latino,Female,34,Florida,Suburban,Some college-no degree (includes some community college),No,,Full-time,Separated,Rent,Less than $10K
204800,Black or African-American,Female,31,Massachusetts,Suburban,Postgraduate or professional degree,No,Psychology/behavorial science,Full-time,Separated,Rent,$50K to under $75K
204878,Black or African-American,Female,29,Georgia,Rural,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Own,$10K to under $20K
204883,White,Male,26,New York,Suburban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,$75K to under $100K
204922,Black or African-American,Female,22,Michigan,Urban,High school graduate (Grade 12 with diploma or GED certificate),Yes,Life sciences/Health sciences,Full-time,Never been married,Rent,$10K to under $20K
205056,Black or African-American,Female,28,Georgia,Urban,Some postgraduate or professional schooling-no postgraduate degree,Yes,,Not employed,Divorced,Rent,$20K to under $30K
205198,White,Male,54,Illinois,Urban,Four year college or university degree/Bachelor's degree,No,Engineering/drafting,Full-time,Divorced,Rent,Don't know/Refused
205200,Black or African-American,Male,30,Nebraska,Urban,Four year college or university degree/Bachelor's degree,Yes,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,$50K to under $75K
205230,White,Female,57,Tennessee,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Disabled,Divorced,Own,Don't know/Refused
205301,White,Male,64,Indiana,Rural,Some college-no degree (includes some community college),No,,Retired,Divorced,Own,$20K to under $30K
205328,White,Female,83,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$10K to under $20K
205353,White,Female,54,Virginia,Suburban,Postgraduate or professional degree,No,Education,Full-time,Married,Own,$75K to under $100K
205373,Black or African-American,Female,73,Maryland,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Full-time,Widowed,Own,Don't know/Refused
205391,White,Female,43,Florida,Suburban,Four year college or university degree/Bachelor's degree,No,Education,Full-time,Divorced,Own,$50K to under $75K
205393,White,Male,53,New Jersey,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Don't know/Refused (VOL.),Less than $10K
205399,White,Male,73,Pennsylvania,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,$30K to under $40K
205568,Black or African-American,Female,50,Maryland,Suburban,Some college-no degree (includes some community college),Yes,Psychology/behavorial science,Not employed,Divorced,Own,$50K to under $75K
