ID,AGEP,SCHL,OCCP,SEX,RAC1P,PINCP
194,32.0,15.0,7750.0,1.0,6.0,24000.0
195,20.0,19.0,4720.0,2.0,1.0,7100.0
196,21.0,19.0,7340.0,1.0,1.0,12200.0
197,20.0,16.0,4760.0,1.0,9.0,2500.0
198,19.0,18.0,4110.0,2.0,1.0,12400.0
199,48.0,19.0,4720.0,2.0,1.0,11600.0
200,19.0,16.0,2722.0,2.0,6.0,2500.0
201,18.0,18.0,4055.0,2.0,2.0,2000.0
202,18.0,18.0,4010.0,2.0,1.0,12000.0
203,35.0,16.0,9130.0,1.0,1.0,1200.0
204,28.0,16.0,6220.0,1.0,8.0,35000.0
205,53.0,19.0,6050.0,2.0,1.0,9600.0
206,19.0,18.0,4010.0,1.0,1.0,570.0
207,19.0,18.0,4720.0,2.0,1.0,11400.0
208,35.0,18.0,8140.0,1.0,1.0,59000.0
209,21.0,19.0,3402.0,1.0,7.0,23000.0
210,21.0,16.0,5400.0,2.0,1.0,2000.0
211,35.0,19.0,9600.0,1.0,7.0,28000.0
212,19.0,16.0,2722.0,2.0,6.0,2500.0
213,19.0,16.0,4030.0,1.0,6.0,670.0
214,21.0,19.0,3402.0,1.0,7.0,23000.0
215,18.0,18.0,4220.0,1.0,1.0,3800.0
216,21.0,16.0,9830.0,1.0,2.0,20000.0
217,18.0,16.0,5400.0,2.0,1.0,5000.0
218,25.0,16.0,3870.0,1.0,1.0,25000.0
219,20.0,18.0,9830.0,1.0,1.0,40000.0
220,19.0,16.0,2722.0,2.0,9.0,29300.0
221,18.0,18.0,4010.0,2.0,1.0,7200.0
222,19.0,18.0,6050.0,2.0,1.0,200.0
223,34.0,20.0,4220.0,2.0,1.0,220.0
224,19.0,19.0,4251.0,1.0,1.0,5400.0
225,25.0,14.0,205.0,1.0,3.0,36000.0
226,19.0,16.0,7140.0,1.0,1.0,22600.0
227,19.0,19.0,9830.0,1.0,2.0,20000.0
228,35.0,18.0,735.0,2.0,1.0,13000.0
229,18.0,18.0,9130.0,2.0,1.0,140.0
230,27.0,16.0,4110.0,1.0,9.0,32000.0
231,18.0,16.0,4055.0,2.0,6.0,6500.0
232,18.0,19.0,5240.0,2.0,2.0,3500.0
233,32.0,15.0,6260.0,2.0,1.0,24000.0
234,20.0,19.0,4130.0,1.0,1.0,9000.0
235,20.0,18.0,8610.0,1.0,1.0,22600.0
236,19.0,19.0,4760.0,2.0,1.0,8500.0
237,27.0,19.0,9825.0,1.0,1.0,35000.0
238,24.0,20.0,9620.0,1.0,1.0,18000.0
239,19.0,16.0,2905.0,1.0,1.0,2800.0
240,22.0,19.0,3960.0,1.0,6.0,5000.0
241,28.0,21.0,5360.0,2.0,1.0,800.0
242,29.0,18.0,4020.0,2.0,8.0,10000.0
243,18.0,16.0,4030.0,2.0,1.0,3300.0
244,38.0,22.0,2040.0,1.0,6.0,24000.0
245,19.0,18.0,4110.0,1.0,8.0,1600.0
246,18.0,18.0,4622.0,2.0,1.0,2300.0
247,19.0,20.0,4140.0,2.0,1.0,2800.0
248,48.0,17.0,9610.0,1.0,1.0,14000.0
249,19.0,16.0,3960.0,1.0,1.0,5200.0
250,34.0,17.0,2180.0,1.0,9.0,20000.0
251,19.0,18.0,4435.0,1.0,1.0,6010.0
252,28.0,18.0,1021.0,2.0,1.0,43000.0
253,19.0,18.0,6040.0,2.0,8.0,4000.0
254,19.0,16.0,9645.0,1.0,2.0,20000.0
255,18.0,16.0,4720.0,2.0,2.0,1500.0
256,20.0,19.0,3603.0,2.0,1.0,10000.0
257,25.0,17.0,9620.0,1.0,1.0,710.0
258,19.0,18.0,6240.0,1.0,8.0,7900.0
259,24.0,20.0,9830.0,1.0,1.0,20000.0
260,20.0,16.0,4020.0,2.0,9.0,3600.0
261,33.0,13.0,8810.0,1.0,1.0,8000.0
262,24.0,19.0,4220.0,1.0,1.0,36100.0
263,18.0,16.0,4622.0,2.0,1.0,4100.0
264,19.0,16.0,3960.0,1.0,1.0,5200.0
265,58.0,22.0,2040.0,1.0,8.0,18000.0
266,34.0,20.0,4220.0,2.0,1.0,220.0
267,32.0,15.0,7750.0,1.0,6.0,24000.0
268,53.0,19.0,6050.0,2.0,1.0,9600.0
269,50.0,13.0,4251.0,1.0,1.0,5000.0
270,41.0,17.0,4220.0,1.0,2.0,190.0
271,21.0,16.0,9825.0,1.0,1.0,26800.0
272,40.0,17.0,5940.0,1.0,2.0,600.0
273,19.0,16.0,4251.0,1.0,1.0,6000.0
274,22.0,18.0,7100.0,1.0,1.0,23700.0
275,22.0,19.0,4720.0,2.0,2.0,2300.0
276,19.0,18.0,6050.0,1.0,2.0,800.0
277,57.0,19.0,4251.0,1.0,6.0,17000.0
278,18.0,18.0,4110.0,2.0,6.0,1000.0
279,36.0,19.0,9645.0,1.0,1.0,10800.0
280,19.0,16.0,7340.0,1.0,1.0,22000.0
281,18.0,19.0,8990.0,2.0,1.0,3000.0
282,20.0,16.0,4622.0,2.0,4.0,3000.0
283,19.0,18.0,4251.0,1.0,1.0,4500.0
284,27.0,16.0,5740.0,2.0,6.0,26000.0
285,66.0,13.0,205.0,1.0,1.0,83400.0
286,20.0,16.0,9300.0,1.0,1.0,25300.0
287,39.0,17.0,8450.0,1.0,1.0,8000.0
288,19.0,18.0,4251.0,1.0,1.0,4500.0
289,18.0,18.0,4130.0,1.0,1.0,6200.0
290,35.0,19.0,9600.0,1.0,7.0,28000.0
291,21.0,19.0,9830.0,1.0,1.0,19000.0
292,21.0,18.0,1555.0,1.0,1.0,29000.0
293,20.0,19.0,9640.0,1.0,1.0,8500.0
294,21.0,16.0,5400.0,2.0,1.0,2000.0
295,38.0,18.0,5400.0,2.0,8.0,6800.0
296,23.0,16.0,3870.0,1.0,1.0,56000.0
297,27.0,20.0,2350.0,1.0,1.0,11600.0
298,22.0,21.0,3602.0,1.0,1.0,19000.0
299,21.0,19.0,4640.0,2.0,1.0,3000.0
300,25.0,18.0,9810.0,1.0,1.0,33600.0
301,26.0,19.0,8225.0,1.0,1.0,10000.0
302,19.0,18.0,6050.0,2.0,1.0,200.0
303,19.0,16.0,4965.0,2.0,1.0,13800.0
304,19.0,19.0,3960.0,2.0,1.0,9600.0
305,24.0,20.0,9830.0,1.0,1.0,40000.0
306,19.0,19.0,60.0,2.0,9.0,32900.0
307,20.0,19.0,4710.0,2.0,1.0,2500.0
308,19.0,18.0,4435.0,1.0,1.0,6010.0
309,22.0,16.0,9620.0,1.0,1.0,5000.0
310,24.0,18.0,9810.0,1.0,1.0,30700.0
311,18.0,18.0,2310.0,1.0,1.0,400.0
312,19.0,16.0,2350.0,1.0,1.0,4380.0
313,20.0,19.0,4760.0,2.0,1.0,2500.0
314,24.0,18.0,1555.0,1.0,1.0,29100.0
315,50.0,19.0,3740.0,1.0,1.0,2400.0
316,37.0,22.0,2040.0,1.0,1.0,27800.0
317,49.0,16.0,9141.0,1.0,2.0,17000.0
318,21.0,18.0,4251.0,1.0,1.0,1000.0
319,18.0,16.0,7840.0,2.0,1.0,5000.0
320,21.0,20.0,4600.0,1.0,6.0,3900.0
321,18.0,18.0,4622.0,1.0,1.0,4600.0
322,29.0,14.0,4055.0,2.0,2.0,8000.0
323,23.0,19.0,2640.0,1.0,1.0,8000.0
324,18.0,18.0,2810.0,2.0,1.0,2670.0
325,21.0,19.0,9830.0,1.0,1.0,19000.0
326,22.0,16.0,9620.0,1.0,7.0,9100.0
327,51.0,16.0,4710.0,1.0,1.0,24000.0
328,61.0,17.0,4130.0,2.0,9.0,24300.0
329,44.0,14.0,4020.0,2.0,1.0,530.0
330,21.0,19.0,9810.0,2.0,1.0,29000.0
331,18.0,19.0,3603.0,2.0,1.0,7500.0
332,25.0,16.0,9810.0,1.0,1.0,29200.0
333,61.0,17.0,4130.0,2.0,9.0,24300.0
334,20.0,19.0,9620.0,1.0,1.0,7500.0
335,28.0,18.0,1021.0,2.0,1.0,43000.0
336,21.0,17.0,9645.0,1.0,1.0,10000.0
337,46.0,17.0,4655.0,1.0,1.0,30000.0
338,18.0,16.0,6260.0,1.0,1.0,8500.0
339,18.0,16.0,4600.0,2.0,6.0,5600.0
340,35.0,14.0,4020.0,1.0,1.0,5000.0
341,18.0,19.0,2545.0,1.0,6.0,660.0
342,24.0,18.0,9810.0,1.0,1.0,30700.0
343,38.0,16.0,7200.0,1.0,1.0,12900.0
344,20.0,16.0,5260.0,2.0,1.0,23000.0
345,18.0,16.0,9830.0,1.0,1.0,41000.0
346,68.0,19.0,4220.0,1.0,1.0,600.0
347,18.0,18.0,4220.0,1.0,6.0,3000.0
348,18.0,19.0,8990.0,2.0,1.0,3000.0
349,38.0,16.0,7200.0,1.0,1.0,12900.0
350,30.0,19.0,5860.0,1.0,2.0,11200.0
351,61.0,17.0,4130.0,2.0,9.0,24300.0
352,21.0,16.0,4640.0,2.0,1.0,7500.0
353,38.0,22.0,2040.0,1.0,6.0,24000.0
354,18.0,19.0,5860.0,2.0,8.0,3000.0
355,20.0,18.0,9830.0,1.0,2.0,41000.0
356,18.0,20.0,2545.0,1.0,6.0,5000.0
357,19.0,16.0,5240.0,1.0,1.0,1000.0
358,30.0,19.0,6515.0,1.0,1.0,6400.0
359,37.0,22.0,2040.0,1.0,1.0,27800.0
360,21.0,14.0,5240.0,2.0,9.0,1400.0
361,27.0,17.0,4220.0,1.0,1.0,3100.0
362,63.0,22.0,2205.0,2.0,1.0,17700.0
363,19.0,20.0,4720.0,2.0,1.0,6100.0
364,19.0,19.0,6260.0,1.0,1.0,5300.0
365,21.0,19.0,9830.0,1.0,1.0,19000.0
366,26.0,19.0,9620.0,2.0,1.0,2000.0
367,21.0,14.0,5240.0,2.0,9.0,1400.0
368,20.0,19.0,4110.0,2.0,1.0,9600.0
369,54.0,14.0,6410.0,1.0,8.0,29800.0
370,23.0,18.0,1555.0,1.0,1.0,26800.0
371,18.0,20.0,4720.0,2.0,1.0,4200.0
372,19.0,18.0,6260.0,1.0,1.0,8500.0
373,27.0,17.0,8500.0,1.0,1.0,3000.0
374,20.0,18.0,4030.0,2.0,2.0,3000.0
375,22.0,20.0,9830.0,1.0,1.0,41000.0
376,19.0,18.0,2320.0,1.0,1.0,9000.0
377,21.0,19.0,4710.0,2.0,9.0,2500.0
378,19.0,18.0,4220.0,1.0,2.0,6900.0
379,18.0,18.0,4720.0,1.0,1.0,8000.0
380,20.0,19.0,4055.0,2.0,1.0,70400.0
381,20.0,19.0,2205.0,1.0,1.0,8100.0
382,42.0,20.0,4140.0,1.0,1.0,23100.0
383,18.0,16.0,4600.0,2.0,1.0,12400.0
384,21.0,19.0,7340.0,1.0,1.0,25200.0
385,32.0,15.0,6260.0,2.0,1.0,24000.0
386,38.0,14.0,6410.0,1.0,1.0,35000.0
387,63.0,22.0,2040.0,1.0,6.0,24000.0
388,29.0,14.0,4055.0,2.0,2.0,8000.0
389,18.0,18.0,4760.0,2.0,1.0,600.0
390,18.0,16.0,9830.0,1.0,2.0,20000.0
391,50.0,13.0,4251.0,1.0,1.0,5000.0
392,61.0,21.0,3602.0,1.0,6.0,10000.0
393,42.0,17.0,7350.0,1.0,1.0,2400.0
394,20.0,16.0,9810.0,1.0,1.0,21600.0
395,18.0,19.0,9640.0,1.0,1.0,32800.0
396,20.0,18.0,9830.0,1.0,1.0,41000.0
397,36.0,14.0,6050.0,1.0,1.0,7700.0
398,27.0,19.0,9600.0,1.0,1.0,9000.0
399,19.0,19.0,5550.0,1.0,9.0,58000.0
400,20.0,19.0,4110.0,2.0,1.0,4000.0
401,72.0,16.0,6410.0,1.0,1.0,21800.0
402,19.0,19.0,9830.0,1.0,2.0,20000.0
403,46.0,19.0,8600.0,1.0,6.0,50000.0
404,19.0,18.0,4720.0,1.0,6.0,530.0
405,19.0,16.0,4740.0,1.0,9.0,1000.0
406,56.0,17.0,4251.0,1.0,1.0,43000.0
407,19.0,18.0,2545.0,2.0,9.0,920.0
408,19.0,18.0,9645.0,1.0,1.0,4000.0
409,18.0,18.0,4150.0,1.0,1.0,1100.0
410,21.0,19.0,3402.0,1.0,7.0,23000.0
411,22.0,20.0,9825.0,1.0,1.0,25380.0
412,78.0,19.0,410.0,1.0,1.0,378000.0
413,19.0,18.0,4010.0,1.0,1.0,570.0
414,55.0,16.0,2350.0,1.0,1.0,42900.0
415,18.0,18.0,4010.0,2.0,1.0,12000.0
416,28.0,20.0,5810.0,1.0,2.0,23000.0
417,28.0,18.0,1021.0,2.0,1.0,43000.0
418,37.0,14.0,4220.0,1.0,2.0,400.0
419,27.0,16.0,5740.0,2.0,6.0,26000.0
420,24.0,18.0,1555.0,1.0,1.0,29100.0
421,18.0,18.0,5310.0,1.0,1.0,2000.0
422,18.0,18.0,9130.0,2.0,1.0,140.0
423,22.0,18.0,7430.0,1.0,2.0,26200.0
424,30.0,19.0,5860.0,1.0,2.0,11200.0
425,19.0,18.0,4220.0,1.0,2.0,6900.0
426,48.0,17.0,4251.0,1.0,1.0,1600.0
427,21.0,19.0,4600.0,1.0,1.0,3900.0
428,20.0,19.0,1555.0,1.0,9.0,4500.0
429,19.0,18.0,4140.0,1.0,1.0,3800.0
430,24.0,19.0,4220.0,1.0,1.0,36100.0
431,59.0,19.0,3602.0,2.0,1.0,150000.0
432,42.0,17.0,4220.0,1.0,1.0,1800.0
433,19.0,18.0,4600.0,2.0,1.0,800.0
434,44.0,17.0,4220.0,1.0,2.0,3100.0
435,19.0,20.0,5810.0,1.0,1.0,14500.0
436,19.0,20.0,230.0,2.0,1.0,800.0
437,18.0,19.0,4760.0,1.0,9.0,15400.0
438,20.0,19.0,5860.0,2.0,1.0,1300.0
439,19.0,16.0,5240.0,1.0,1.0,1000.0
440,53.0,19.0,6050.0,2.0,1.0,9600.0
441,18.0,16.0,3930.0,1.0,6.0,480.0
442,36.0,17.0,9620.0,1.0,1.0,2000.0
443,19.0,16.0,2350.0,1.0,1.0,4380.0
444,19.0,18.0,4130.0,1.0,1.0,8700.0
445,36.0,17.0,9620.0,1.0,1.0,12000.0
446,22.0,19.0,3648.0,2.0,1.0,5000.0
447,19.0,18.0,3300.0,2.0,9.0,570.0
448,35.0,18.0,9640.0,1.0,1.0,18000.0
449,21.0,19.0,7340.0,1.0,1.0,12200.0
450,19.0,16.0,2545.0,2.0,1.0,400.0
451,32.0,15.0,6260.0,2.0,1.0,24000.0
452,19.0,19.0,4030.0,2.0,1.0,2600.0
453,50.0,13.0,4251.0,1.0,1.0,5000.0
454,34.0,17.0,310.0,1.0,1.0,6000.0
455,30.0,18.0,4720.0,2.0,1.0,4500.0
456,38.0,19.0,5240.0,1.0,1.0,65000.0
457,49.0,21.0,3870.0,1.0,1.0,9500.0
458,18.0,16.0,4622.0,2.0,1.0,4100.0
459,44.0,18.0,7810.0,1.0,6.0,12000.0
460,34.0,17.0,310.0,1.0,1.0,6000.0
461,43.0,19.0,4230.0,2.0,9.0,13300.0
462,18.0,18.0,4110.0,1.0,1.0,1200.0
463,18.0,18.0,9620.0,1.0,6.0,7100.0
464,19.0,20.0,4760.0,2.0,1.0,7400.0
465,28.0,21.0,5360.0,2.0,1.0,800.0
466,19.0,18.0,4720.0,2.0,1.0,11400.0
467,19.0,18.0,2545.0,2.0,9.0,920.0
468,19.0,19.0,9620.0,1.0,1.0,3000.0
469,62.0,19.0,4220.0,1.0,1.0,31000.0
470,62.0,17.0,6410.0,1.0,1.0,800.0
471,20.0,19.0,9645.0,2.0,8.0,3000.0
472,19.0,18.0,5630.0,2.0,1.0,5000.0
473,22.0,18.0,7430.0,1.0,2.0,26200.0
474,33.0,12.0,4020.0,1.0,1.0,16600.0
475,18.0,18.0,5860.0,2.0,1.0,1400.0
476,24.0,16.0,9830.0,1.0,6.0,67000.0
477,19.0,19.0,8800.0,1.0,1.0,11000.0
478,18.0,16.0,4720.0,1.0,9.0,6600.0
479,24.0,16.0,9830.0,1.0,1.0,41000.0
480,18.0,16.0,9620.0,1.0,1.0,4000.0
481,19.0,18.0,8800.0,1.0,6.0,11000.0
482,35.0,19.0,3930.0,1.0,9.0,44600.0
483,38.0,16.0,7200.0,1.0,1.0,12900.0
484,18.0,18.0,2810.0,2.0,1.0,2670.0
485,39.0,19.0,4220.0,2.0,1.0,660.0
486,35.0,17.0,4220.0,1.0,2.0,600.0
487,18.0,16.0,3930.0,1.0,6.0,480.0
488,20.0,16.0,9810.0,1.0,1.0,21600.0
489,29.0,14.0,4055.0,2.0,2.0,8000.0
490,29.0,18.0,4030.0,1.0,1.0,600.0
491,74.0,19.0,205.0,1.0,1.0,11800.0
492,21.0,16.0,9825.0,1.0,1.0,26800.0
493,19.0,19.0,340.0,1.0,1.0,7000.0
494,25.0,19.0,3870.0,1.0,2.0,28000.0
495,18.0,18.0,4720.0,1.0,1.0,4500.0
496,67.0,16.0,8140.0,1.0,1.0,13800.0
497,18.0,18.0,4220.0,1.0,1.0,960.0
498,23.0,18.0,9810.0,1.0,1.0,25300.0
499,61.0,17.0,4130.0,2.0,9.0,24300.0
